,Product,Order Date,Units
0,27in 4K Gaming Monitor,2019-01-06,64
1,27in 4K Gaming Monitor,2019-01-13,80
2,27in 4K Gaming Monitor,2019-01-20,65
3,27in 4K Gaming Monitor,2019-01-27,65
4,27in 4K Gaming Monitor,2019-02-03,81
5,27in 4K Gaming Monitor,2019-02-10,114
6,27in 4K Gaming Monitor,2019-02-17,115
7,27in 4K Gaming Monitor,2019-02-24,95
8,27in 4K Gaming Monitor,2019-03-03,96
9,27in 4K Gaming Monitor,2019-03-10,106
10,27in 4K Gaming Monitor,2019-03-17,119
11,27in 4K Gaming Monitor,2019-03-24,108
12,27in 4K Gaming Monitor,2019-03-31,109
13,27in 4K Gaming Monitor,2019-04-07,122
14,27in 4K Gaming Monitor,2019-04-14,125
15,27in 4K Gaming Monitor,2019-04-21,139
16,27in 4K Gaming Monitor,2019-04-28,132
17,27in 4K Gaming Monitor,2019-05-05,121
18,27in 4K Gaming Monitor,2019-05-12,121
19,27in 4K Gaming Monitor,2019-05-19,128
20,27in 4K Gaming Monitor,2019-05-26,134
21,27in 4K Gaming Monitor,2019-06-02,115
22,27in 4K Gaming Monitor,2019-06-09,113
23,27in 4K Gaming Monitor,2019-06-16,109
24,27in 4K Gaming Monitor,2019-06-23,101
25,27in 4K Gaming Monitor,2019-06-30,99
26,27in 4K Gaming Monitor,2019-07-07,105
27,27in 4K Gaming Monitor,2019-07-14,116
28,27in 4K Gaming Monitor,2019-07-21,116
29,27in 4K Gaming Monitor,2019-07-28,102
30,27in 4K Gaming Monitor,2019-08-04,93
31,27in 4K Gaming Monitor,2019-08-11,109
32,27in 4K Gaming Monitor,2019-08-18,98
33,27in 4K Gaming Monitor,2019-08-25,100
34,27in 4K Gaming Monitor,2019-09-01,94
35,27in 4K Gaming Monitor,2019-09-08,97
36,27in 4K Gaming Monitor,2019-09-15,90
37,27in 4K Gaming Monitor,2019-09-22,80
38,27in 4K Gaming Monitor,2019-09-29,90
39,27in 4K Gaming Monitor,2019-10-06,148
40,27in 4K Gaming Monitor,2019-10-13,177
41,27in 4K Gaming Monitor,2019-10-20,157
42,27in 4K Gaming Monitor,2019-10-27,167
43,27in 4K Gaming Monitor,2019-11-03,144
44,27in 4K Gaming Monitor,2019-11-10,151
45,27in 4K Gaming Monitor,2019-11-17,112
46,27in 4K Gaming Monitor,2019-11-24,135
47,27in 4K Gaming Monitor,2019-12-01,153
48,27in 4K Gaming Monitor,2019-12-08,198
49,27in 4K Gaming Monitor,2019-12-15,202
50,27in 4K Gaming Monitor,2019-12-22,185
51,27in 4K Gaming Monitor,2019-12-29,202
52,27in 4K Gaming Monitor,2020-01-05,41
53,iPhone,2019-01-06,68
54,iPhone,2019-01-13,85
55,iPhone,2019-01-20,66
56,iPhone,2019-01-27,109
57,iPhone,2019-02-03,109
58,iPhone,2019-02-10,121
59,iPhone,2019-02-17,106
60,iPhone,2019-02-24,97
61,iPhone,2019-03-03,112
62,iPhone,2019-03-10,117
63,iPhone,2019-03-17,117
64,iPhone,2019-03-24,108
65,iPhone,2019-03-31,140
66,iPhone,2019-04-07,165
67,iPhone,2019-04-14,163
68,iPhone,2019-04-21,179
69,iPhone,2019-04-28,136
70,iPhone,2019-05-05,137
71,iPhone,2019-05-12,160
72,iPhone,2019-05-19,145
73,iPhone,2019-05-26,134
74,iPhone,2019-06-02,153
75,iPhone,2019-06-09,112
76,iPhone,2019-06-16,122
77,iPhone,2019-06-23,134
78,iPhone,2019-06-30,125
79,iPhone,2019-07-07,126
80,iPhone,2019-07-14,100
81,iPhone,2019-07-21,116
82,iPhone,2019-07-28,111
83,iPhone,2019-08-04,115
84,iPhone,2019-08-11,109
85,iPhone,2019-08-18,96
86,iPhone,2019-08-25,94
87,iPhone,2019-09-01,84
88,iPhone,2019-09-08,81
89,iPhone,2019-09-15,103
90,iPhone,2019-09-22,98
91,iPhone,2019-09-29,88
92,iPhone,2019-10-06,164
93,iPhone,2019-10-13,143
94,iPhone,2019-10-20,158
95,iPhone,2019-10-27,170
96,iPhone,2019-11-03,167
97,iPhone,2019-11-10,139
98,iPhone,2019-11-17,139
99,iPhone,2019-11-24,177
100,iPhone,2019-12-01,175
101,iPhone,2019-12-08,187
102,iPhone,2019-12-15,230
103,iPhone,2019-12-22,207
104,iPhone,2019-12-29,197
105,iPhone,2020-01-05,51
