Product,SalesBefore,SalesAfter,OverstatedSales,OverstatedRate (%)
Macbook Pro Laptop,8035900.0,8030800.0,5100.0,0.06346519991537973
Apple Airpods Headphones,2348550.0,2344950.0,3600.0,0.15328607012837708
Bose SoundSport Headphones,1345265.46,1342565.73,2699.7299999999814,0.20068381150587047
34in Ultrawide Monitor,2355558.0100000002,2352898.08,2659.9300000001676,0.11292143894177191
ThinkPad Laptop,4127958.72,4125958.74,1999.9799999999814,0.04844961240310032
27in 4K Gaming Monitor,2434707.57,2432757.62,1949.9499999997206,0.08008970046450879
Flatscreen TV,1445400.0,1443600.0,1800.0,0.12453300124533001
Google Phone,3318600.0,3316800.0,1800.0,0.054239739649249684
iPhone,4792900.0,4791500.0,1400.0,0.02920987293705272
27in FHD Monitor,1131974.53,1130624.62,1349.9099999999162,0.11925268318536425
Lightning Charging Cable,347004.45,346286.85,717.6000000000349,0.20679850071087988
USB-C Charging Cable,286453.44999999995,285927.64999999997,525.7999999999884,0.18355512911434246
Wired Headphones,246430.47,246034.80000000002,395.6699999999837,0.16056050211647271
20in Monitor,453818.74,453488.76999999996,329.97000000003027,0.07270964614639543
AAA Batteries (4-pack),92725.88,92633.19,92.69000000000233,0.09996130530117624
AA Batteries (4-pack),106118.4,106041.59999999999,76.80000000000291,0.07237199203908362
LG Dryer,387600.0,387600.0,0.0,0.0
LG Washing Machine,399600.0,399600.0,0.0,0.0
Vareebadd Phone,826800.0,826800.0,0.0,0.0
