Product,Orders,Units,Sales,AvgPrice,SalesShare (%),CumulativeSalesShare (%)
Macbook Pro Laptop,4720,4724,8030800.0,1700.0,23.306819649347897,23.306819649347897
iPhone,6838,6845,4791500.0,700.0,13.905790998387513,37.21261064773541
ThinkPad Laptop,4124,4126,4125958.74,999.99,11.974271085549471,49.18688173328488
Google Phone,5521,5528,3316800.0,600.0,9.625947528634395,58.812829261919276
27in 4K Gaming Monitor,6224,6238,2432757.62,389.99,7.06029823926842,65.8731275011877
34in Ultrawide Monitor,6174,6192,2352898.08,379.99,6.828531553999221,72.70165905518692
Apple Airpods Headphones,15521,15633,2344950.0,150.0,6.805464802602275,79.5071238577892
Flatscreen TV,4793,4812,1443600.0,300.0,4.189585700776837,83.69670955856603
Bose SoundSport Headphones,13295,13427,1342565.73,99.99,3.8963661573573125,87.59307571592333
27in FHD Monitor,7495,7538,1130624.62,149.99,3.2812751045291257,90.87435082045246
Vareebadd Phone,2064,2067,826800.0,400.0,2.3995216523983713,93.27387247285084
20in Monitor,4096,4123,453488.76999999996,109.99,1.3161056153054003,94.58997808815624
LG Washing Machine,666,666,399600.0,600.0,1.1597107550778776,95.74968884323413
LG Dryer,646,646,387600.0,600.0,1.1248846062767401,96.87457344951086
Lightning Charging Cable,21599,23163,346286.85,14.95,1.004986447164764,97.87955989667563
USB-C Charging Cable,21851,23927,285927.64999999997,11.95,0.829813240438296,98.70937313711393
Wired Headphones,18846,20520,246034.80000000002,11.99,0.7140370462548413,99.42341018336877
AA Batteries (4-pack),20542,27615,106041.59999999999,3.84,0.30775171172589155,99.73116189509466
AAA Batteries (4-pack),20590,30981,92633.19,2.99,0.2688381049053366,100.0
